,R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
0,1,James Harden,PG/SG,HOU,78,36.8,0.44  (10.8/24.5),0.88  (9.7/11.0),4.8,36.1,6.6,7.5,2.1,0.7,5.0,18.52
1,2,Anthony Davis,PF/C,NOR,56,33.0,0.52  (9.5/18.3),0.79  (6.1/7.7),0.9,25.9,12.0,3.9,1.6,2.4,2.0,14.64
2,3,Stephen Curry,PG/SG,GSW,69,33.8,0.47  (9.2/19.4),0.90  (3.8/4.2),5.1,27.3,5.3,5.2,1.3,0.4,2.8,12.33
3,4,Karl-Anthony Towns,C,MIN,77,33.0,0.51  (8.8/17.1),0.84  (4.9/5.8),1.8,24.4,12.4,3.4,0.9,1.6,3.1,12.22
4,5,Giannis Antetokounmpo,SF/PF,MIL,72,32.8,0.58  (10.0/17.3),0.73  (6.9/9.5),0.7,27.7,12.5,5.9,1.3,1.5,3.7,11.98
5,6,Paul George,SG/SF/PF,OKC,77,36.9,0.44  (9.2/20.9),0.84  (5.9/7.0),3.8,28.0,8.1,4.1,2.2,0.4,2.7,11.83
6,7,Joel Embiid,PF/C,PHI,64,33.7,0.49  (9.1/18.7),0.81  (8.2/10.1),1.2,27.5,13.6,3.7,0.7,1.9,3.5,11.80
7,8,Kevin Durant,SF/PF,GSW,78,34.6,0.52  (9.2/17.7),0.88  (5.7/6.5),1.8,26.0,6.4,5.9,0.8,1.1,2.9,11.52
8,9,Kawhi Leonard,SG/SF,TOR,60,34.0,0.49  (9.3/18.8),0.86  (6.1/7.1),1.9,26.6,7.3,3.3,1.8,0.4,2.0,10.50
9,10,Kyrie Irving,PG/SG,BOS,67,33.0,0.49  (9.0/18.5),0.86  (3.2/3.7),2.6,23.8,5.0,6.9,1.6,0.5,2.6,10.03
10,11,Damian Lillard,PG,POR,80,35.5,0.44  (8.5/19.2),0.91  (5.8/6.4),3.0,25.8,4.6,6.9,1.1,0.4,2.6,9.80
11,12,Nikola Jokic,PF/C,DEN,80,31.3,0.51  (7.7/15.1),0.82  (3.6/4.4),1.0,20.1,10.8,7.3,1.4,0.7,3.1,9.74
12,13,Nikola Vucevic,PF/C,ORL,80,31.4,0.52  (8.8/16.9),0.79  (2.2/2.8),1.1,20.8,12.0,3.8,1.0,1.1,2.0,8.68
13,R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
14,14,Bradley Beal,SG,WAS,82,36.9,0.47  (9.3/19.6),0.80  (4.4/5.5),2.5,25.6,5.0,5.5,1.5,0.7,2.7,8.38
15,15,Jrue Holiday,PG/SG,NOR,67,35.8,0.47  (8.2/17.3),0.78  (3.1/4.0),1.8,21.2,5.0,7.7,1.6,0.8,3.2,7.64
16,16,LeBron James,SF/PF,LAL,55,35.2,0.51  (10.1/19.9),0.67  (5.1/7.6),2.0,27.4,8.4,8.3,1.3,0.6,3.6,7.34
17,17,Devin Booker,PG/SG,PHO,64,35.0,0.47  (9.2/19.6),0.86  (6.1/7.1),2.1,26.6,4.1,6.8,0.9,0.2,4.1,7.15
18,18,Kemba Walker,PG,CHA,82,34.9,0.43  (8.9/20.5),0.84  (4.6/5.5),3.2,25.6,4.4,5.9,1.2,0.4,2.6,6.98
19,19,Chris Paul,PG,HOU,58,32.0,0.42  (5.2/12.4),0.86  (3.0/3.5),2.2,15.6,4.6,8.2,2.0,0.3,2.6,6.96
20,20,Jimmy Butler,SG/SF,PHI,65,33.6,0.46  (6.4/13.9),0.86  (4.8/5.6),1.0,18.7,5.3,4.0,1.9,0.6,1.4,6.63
21,21,Russell Westbrook,PG,OKC,73,36.0,0.43  (8.6/20.2),0.66  (4.1/6.2),1.6,22.9,11.1,10.7,1.9,0.5,4.4,6.39
22,22,Rudy Gobert,C,UTA,81,31.8,0.67  (5.9/8.8),0.64  (4.1/6.4),0.0,15.9,12.8,2.0,0.8,2.3,1.6,6.31
23,23,LaMarcus Aldridge,PF/C,SAS,81,33.2,0.52  (8.4/16.3),0.84  (4.3/5.1),0.1,21.3,9.2,2.4,0.5,1.3,1.8,6.15
24,24,JaKarr Sampson,SG/SF,TBA,4,31.8,0.54  (7.3/13.5),0.81  (4.3/5.3),1.3,20.0,8.0,1.0,1.0,0.8,1.0,6.12
25,25,Andre Drummond,PF/C,DET,79,33.5,0.53  (7.1/13.3),0.60  (3.1/5.2),0.1,17.3,15.6,1.4,1.7,1.8,2.2,6.04
26,26,Al Horford,PF/C,BOS,68,29.0,0.54  (5.7/10.6),0.86  (1.2/1.4),1.1,13.6,6.7,4.1,0.9,1.3,1.5,5.91
27,R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
28,27,Clint Capela,PF/C,HOU,67,33.6,0.65  (7.1/10.9),0.64  (2.5/3.9),0.0,16.6,12.6,1.4,0.7,1.5,1.4,5.78
29,28,Mike Conley,PG,MEM,70,33.5,0.44  (7.0/16.0),0.84  (4.9/5.8),2.2,21.1,3.4,6.4,1.3,0.3,1.9,5.77
30,29,Danilo Gallinari,SF/PF,LAC,68,30.3,0.46  (6.0/13.0),0.90  (5.4/6.0),2.4,19.8,6.1,2.6,0.7,0.3,1.4,5.74
31,30,Kyle Lowry,PG,TOR,65,34.1,0.41  (4.7/11.4),0.83  (2.5/3.0),2.4,14.2,4.8,8.7,1.4,0.5,2.8,5.73
32,31,Myles Turner,PF/C,IND,74,28.6,0.48  (5.1/10.6),0.74  (2.0/2.7),1.0,13.3,7.2,1.6,0.8,2.7,1.4,5.61
33,32,Robert Covington,SF/PF,MIN,35,34.4,0.44  (4.5/10.3),0.76  (1.9/2.5),2.4,13.3,5.5,1.3,2.1,1.3,1.3,5.52
34,33,Tobias Harris,SF/PF,PHI,82,34.7,0.49  (7.5/15.3),0.86  (3.2/3.7),1.9,20.0,7.9,2.8,0.6,0.5,1.8,5.15
35,34,Zach LaVine,PG/SG,CHI,63,34.5,0.47  (8.4/18.0),0.83  (5.0/6.0),1.9,23.7,4.7,4.5,1.0,0.4,3.4,5.08
36,35,Klay Thompson,SG/SF,GSW,78,34.0,0.47  (8.4/18.0),0.85  (1.7/2.0),3.1,21.5,3.8,2.4,1.1,0.6,1.5,5.04
37,36,DeMarcus Cousins,PF/C,GSW,30,25.7,0.48  (5.9/12.4),0.73  (3.5/4.8),0.9,16.3,8.2,3.6,1.3,1.5,2.4,4.88
38,37,Brook Lopez,C,MIL,81,28.7,0.45  (4.4/9.7),0.88  (1.4/1.6),2.3,12.5,4.9,1.2,0.6,2.2,1.0,4.86
39,38,DeMar DeRozan,SG/SF,SAS,77,34.9,0.48  (8.2/17.1),0.82  (4.7/5.7),0.1,21.2,6.0,6.2,1.1,0.5,2.6,4.79
40,39,Jusuf Nurkic,C,POR,72,27.4,0.50  (5.8/11.5),0.76  (3.9/5.1),0.0,15.6,10.4,3.2,1.0,1.4,2.3,4.74
41,R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
42,40,Deandre Ayton,C,PHO,71,30.7,0.59  (7.2/12.3),0.74  (2.0/2.7),0.0,16.3,10.3,1.8,0.9,0.9,1.8,4.65
43,41,Blake Griffin,PF/C,DET,75,35.0,0.46  (8.3/17.9),0.75  (5.5/7.3),2.5,24.5,7.5,5.4,0.7,0.4,3.4,4.53
44,42,D'Angelo Russell,PG/SG,BKN,81,30.2,0.43  (8.1/18.7),0.80  (2.0/2.5),2.9,21.1,3.9,7.0,1.2,0.2,3.1,4.44
