NAME,FG,FT,TRES,PTS,REB,AST,STL,BLK,TO
James Harden,0.44,0.88,4.8,36.1,6.6,7.5,2.1,0.7,5.0
Chris Paul,0.42,0.86,2.2,15.6,4.6,8.2,2.0,0.3,2.6
Clint Capela,0.65,0.64,0.0,16.6,12.6,1.4,0.7,1.5,1.4
Rudy Gobert,0.67,0.64,0.0,15.9,12.8,2.0,0.8,2.3,1.6
Al Horford,0.54,0.86,1.1,13.6,6.7,4.1,0.9,1.3,1.5
Devin Booker,0.47,0.86,2.1,26.6,4.1,6.8,0.9,0.2,4.1
LeBron James,0.51,0.67,2.0,27.4,8.4,8.3,1.3,0.6,3.6
Kyle Lowry,0.41,0.83,2.4,14.2,4.8,8.7,1.4,0.5,2.8
Jusuf Nurkic,0.50,0.76,0.0,15.6,10.4,3.2,1.0,1.4,2.3
John Wall,0.45,0.69,1.6,20.7,3.6,8.7,1.5,0.9,3.8
John Wall,0.45,0.69,1.6,20.7,3.6,8.7,1.5,0.9,3.8
